Repositório,Estrelas,Total de Releases,Mediana
leakcanary,29556,43,33.5
AI-Expert-Roadmap,29555,0,33
editor.js,29553,100,33.5
influxdb,29527,87,34
hutool,29523,149,34.0
siyuan,29522,742,34
project-guidelines,29513,0,34.0
react-boilerplate,29511,16,34
uppy,29508,132,34.0
kafka,29490,0,34
phantomjs,29484,0,33.5
netron,29415,3,33
500lines,29408,0,33.0
stats,29393,283,33
fabric,29392,92,33.5
OpenAPI-Specification,29388,12,33
Mr.-Ranedeer-AI-Tutor,29361,3,33.0
backstage,29357,405,33
comprehensive-rust,29340,0,33.0
particles.js,29335,6,33
Hover,29335,10,33.0
apollo,29332,41,33
roop,29324,6,33.0
servo,29314,0,33
GPTs,29307,0,32.5
tqdm,29302,131,33
standard,29260,7,32.5
awesome-macos-command-line,29253,0,32
es6features,29230,0,32.0
ruoyi-vue-pro,29228,34,32
algo,29199,2,32.0
rocksdb,29164,200,32
directus,29123,327,32.5
awesome-python-cn,29108,0,32
cheerio,29098,58,32.5
COVID-19,29088,0,32
paper-reading,29085,0,32.0
alpine,29060,136,32
MonitorControl,29031,26,32.0
pytorch-lightning,29015,163,32
folly,28993,228,32.5
data-engineering-zoomcamp,28984,0,32
swift-algorithm-club,28954,0,32.0
weekly,28940,193,32
CheatSheetSeries,28904,0,32.0
tiptap,28872,850,32
numpy,28865,125,32.5
Data-Science-For-Beginners,28844,0,32
k3s,28831,824,32.5
composer,28829,209,33
canal,28818,32,32.5
django-rest-framework,28812,19,32
croc,28796,172,32.5
css-protips,28789,0,32
docsify,28773,14,32.0
surrealdb,28731,66,32
todomvc,28728,6,32.0
lux,28709,86,32
lighthouse,28702,116,32.5
consul,28693,199,33
postcss,28663,265,33.0
python-guide,28660,0,33
server,28657,308,33.0
mediapipe,28647,59,33
CasaOS,28608,96,33.0
SpringAll,28604,0,33
slick,28599,48,33.0
linkedin-skill-assessments-quizzes,28576,1,33
k9s,28562,233,33.0
Hello-Python,28523,0,33
react-spring,28468,50,33.0
vuex,28456,51,33
handson-ml2,28429,0,33.0
machine-learning-for-software-engineers,28363,0,33
llama3,28351,0,33.0
android_guides,28347,0,33
plyr,28329,88,33.0
Clone-Wars,28319,0,33
xxl-job,28313,36,33.0
Free-Certifications,28285,0,33
spring-cloud-alibaba,28237,47,33.0
async,28224,7,33
UTM,28220,118,33.0
react-three-fiber,28217,119,33
puter,28160,8,33.0
ladybird,28130,0,33
the-super-tiny-compiler,28118,0,32.5
JavaScript30,28111,0,32
backbone,28103,0,32.0
immer,28089,109,32
trilium,28088,297,32.5
druid,28069,51,33
tinygrad,28067,10,32.5
ChatGPT,28058,277,33
DevToys,28045,38,33.0
tuning_playbook,28024,0,33
fish-shell,28019,45,33.0
Complete-Python-3-Bootcamp,28000,0,33
nginxconfig.io,27975,0,32.5
cobalt,27974,0,32
tokio,27965,126,32.5
filebrowser,27911,62,33
reverse-interview,27910,0,32.5
stb,27899,0,32
viper,27877,32,32.0
data-science-ipython-notebooks,27876,0,32
os-tutorial,27847,0,32.0
react-select,27827,59,32
xstate,27822,399,32.0
mantine,27820,252,32
glances,27765,49,32.5
cursor,27761,0,32
xyflow,27755,294,32.5
waifu2x,27752,3,32
medusa,27739,113,32.5
Charts,27738,38,33
mobx,27735,112,33.0
applied-ml,27717,0,33
GPT_API_free,27684,0,32.5
